Enrollmentno,sub1,sub2,sub3,sub4,sub5
E0997,58,68,49,45,50
E0998,84,96,59,65,46
E0999,90,41,87,94,62
E1000,64,57,51,93,40
E1001,57,62,57,49,66
E1002,87,44,91,98,62
E1003,72,47,69,95,77
E1004,80,88,81,76,53
E1005,67,56,93,100,87
E1006,50,43,49,65,71
E1007,100,47,55,62,96
E1008,80,63,66,63,74
E1009,79,59,93,88,48
E1010,58,74,71,48,98
E1011,77,56,40,73,62
E1012,52,62,48,70,70
E1013,43,77,48,79,55
E1014,74,42,63,67,81
E1015,67,55,66,67,40
E1016,89,70,56,55,56
E1017,61,40,99,95,87
E1018,84,45,40,50,62
E1019,95,60,69,60,83
E1020,72,44,66,72,71
E1021,81,55,62,55,74
E1022,85,84,86,44,67
E1023,89,59,74,60,53
E1024,78,99,42,83,93
E1025,56,71,92,94,94
E1026,57,76,95,74,80
E1027,89,89,86,65,61
E1028,83,79,84,58,67
E1029,44,98,63,54,44
E1030,40,69,57,68,72
E1031,52,74,98,80,56
E1032,51,50,59,41,82
E1033,40,63,48,69,55
E1034,52,99,75,61,94
E1035,95,84,78,49,75
E1036,97,97,67,47,41
E1037,56,50,94,69,95
E1038,43,46,66,59,46
E1039,63,58,56,91,63
E1040,91,97,51,43,73
E1041,79,53,44,91,61
E1042,62,79,45,100,99
E1043,67,75,59,52,75
E1044,72,61,72,59,74
E1045,81,48,85,88,48
E1046,91,65,47,86,92
E1047,45,47,85,82,78
E1048,97,60,44,88,95
E1049,87,94,71,83,78
E1050,97,68,81,61,85
E1051,86,58,95,51,55
E1052,52,46,44,76,87
E1053,64,60,87,66,61
E1054,61,67,86,77,58
E1055,51,71,64,63,76
E1056,72,76,91,66,49
E1057,99,51,85,80,57
E1058,95,70,75,62,97
E1059,79,64,91,61,70
E1060,62,80,48,69,44
E1061,40,99,82,73,77
E1062,83,73,57,43,51
E1063,47,53,67,91,68
E1064,72,96,91,53,96
E1065,42,89,92,75,98
E1066,42,60,98,74,59
E1067,40,80,70,40,44
E1068,62,49,50,47,97
E1069,96,41,80,96,94
E1070,49,69,82,72,97
E1071,66,85,96,67,59
E1072,63,43,97,70,47
E1073,40,68,88,42,73
E1074,52,51,54,81,91
E1075,60,84,70,69,61
E1076,83,97,74,100,56
E1077,63,83,72,94,81
E1078,47,94,85,68,73
E1079,79,48,50,61,90
E1080,87,70,59,94,94
E1081,92,92,55,58,81
E1082,66,97,88,45,52
E1083,45,64,58,52,55
E1084,41,81,99,93,71
E1085,58,69,49,48,49
E1086,64,46,89,50,51
E1087,100,79,40,59,77
E1088,60,53,80,43,60
E1089,59,65,68,46,84
E1090,68,42,52,40,62
E1091,81,97,96,45,59
E1092,93,79,73,83,59
E1093,92,64,47,74,97
E1094,52,48,97,77,74
E1095,79,47,46,94,65
E1096,65,61,68,82,67
E1097,78,94,44,41,57
E1098,48,69,89,64,71
E1099,100,97,56,78,43
E1100,82,47,66,91,99
E1101,98,61,53,44,95
E1102,65,59,43,58,47
E1103,92,84,71,49,82
E1104,74,53,51,85,48
E1105,52,78,72,81,55
E1106,85,78,90,87,80
E1107,75,97,51,46,48
E1108,89,97,91,46,75
E1109,80,83,72,86,61
E1110,87,76,100,81,59
E1111,49,77,66,42,74
E1112,65,83,57,81,43
E1113,60,62,94,91,69
E1114,56,63,76,93,54
E1115,66,85,65,46,57
E1116,45,84,78,42,82
E1117,99,74,92,94,59
E1118,45,95,43,66,70
E1119,76,58,95,48,85
E1120,84,77,80,98,87
E1121,54,79,55,98,44
E1122,43,76,55,45,62
E1123,53,54,54,89,98
E1124,98,80,44,82,99
E1125,57,91,52,44,93
E1126,93,93,44,47,58
E1127,88,85,100,87,75
E1128,51,79,94,99,64
E1129,91,78,43,83,54
E1130,46,50,53,49,94
E1131,79,93,87,87,78
E1132,83,80,47,99,86
E1133,62,86,76,100,85
E1134,50,87,58,98,96
E1135,71,42,98,71,96
E1136,40,60,43,56,59
E1137,59,66,42,77,87
E1138,88,63,69,99,87
E1139,53,88,58,92,65
E1140,55,44,96,42,96
E1141,66,95,46,81,43
E1142,40,44,46,82,47
E1143,71,82,70,62,95
E1144,59,48,54,49,86
E1145,61,56,44,59,81
E1146,54,42,93,65,67
E1147,85,69,89,55,55
E1148,69,62,88,79,65
E1149,60,77,49,54,75
E1150,42,69,89,78,91
E1151,96,89,46,97,91
E1152,71,87,55,48,90
E1153,94,93,82,64,80
E1154,55,71,64,90,59
E1155,59,59,41,47,100
E1156,63,53,65,61,79
E1157,97,72,49,65,58
E1158,77,54,77,59,64
E1159,47,51,64,57,46
E1160,97,94,76,86,89
E1161,96,72,86,45,61
E1162,82,43,76,45,76
E1163,76,69,49,85,71
E1164,60,86,62,74,70
E1165,58,48,94,56,59
E1166,81,90,60,83,50
E1167,95,87,46,43,53
E1168,52,64,56,93,80
E1169,48,41,66,66,65
E1170,49,77,72,79,53
E1171,67,49,72,93,46
E1172,56,82,80,92,85
E1173,51,93,90,84,94
E1174,70,79,47,95,77
E1175,84,97,93,85,68
E1176,96,65,63,52,66
E1177,43,63,94,46,75
E1178,89,99,95,45,50
E1179,93,63,79,54,96
E1180,97,87,47,63,93
E1181,44,60,98,72,52
E1182,67,71,48,100,51
E1183,100,58,74,82,64
E1184,83,73,59,92,99
E1185,67,81,59,61,79
E1186,92,57,79,87,54
E1187,59,46,100,69,87
E1188,81,41,73,93,68
E1189,89,47,45,65,90
E1190,93,78,79,63,82
E1191,42,79,41,83,40
E1192,84,80,96,77,64
E1193,86,74,100,71,93
E1194,57,54,99,81,48
E1195,79,45,72,45,40
E1196,56,83,58,79,58
E1197,66,81,63,42,60
E1198,77,97,59,88,82
E1199,62,42,61,48,52
E1200,88,45,44,99,48
E1201,100,56,70,85,97
E1202,76,54,91,62,47
E1203,58,41,62,85,99
E1204,81,49,56,99,95
E1205,52,82,100,93,100
E1206,74,81,76,68,98
E1207,64,77,57,59,73
E1208,77,67,85,75,93
E1209,45,49,75,48,88
E1210,48,96,71,53,96
E1211,58,85,82,48,58
E1212,40,55,95,62,53
E1213,88,45,93,81,82
E1214,56,42,65,66,55
E1215,79,94,71,49,49
E1216,84,80,69,86,74
E1217,44,58,60,66,58
E1218,96,71,99,64,86
E1219,56,87,66,78,46
E1220,99,79,88,56,85
E1221,53,72,41,60,86
E1222,51,80,48,52,62
E1223,56,78,63,57,50
E1224,70,45,63,78,77
E1225,79,41,93,94,50
E1226,70,63,61,57,80
E1227,59,74,90,68,84
E1228,82,61,59,83,99
E1229,84,91,57,85,62
E1230,48,89,67,61,82
E1231,91,55,66,68,50
E1232,60,62,75,89,53
E1233,70,75,53,80,79
E1234,62,44,77,53,84
E1235,94,90,86,60,40
E1236,65,41,41,58,49
E1237,90,42,50,89,87
E1238,57,44,89,69,52
E1239,90,62,90,60,83
E1240,54,58,100,96,67
E1241,98,80,53,78,84
E1242,55,75,54,40,48
E1243,98,64,97,49,77
E1244,64,77,53,74,62
E1245,66,74,42,53,61
E1246,55,73,60,54,89
E1247,74,72,98,85,52
E1248,68,80,60,99,95
E1249,42,70,46,63,95
E1250,63,91,48,83,72
E1251,66,70,47,86,80
E1252,59,47,60,83,82
E1253,68,93,67,45,81
E1254,70,60,64,67,87
E1255,51,92,83,60,77
E1256,63,48,44,62,80
E1257,87,52,61,60,65
E1258,79,51,75,46,42
E1259,50,96,99,88,73
E1260,55,92,53,84,50
E1261,47,77,46,74,67
E1262,73,74,51,67,82
E1263,92,88,45,64,95
E1264,98,47,50,51,51
E1265,67,55,92,76,46
E1266,64,73,74,43,87
E1267,82,71,40,77,74
E1268,56,62,80,99,92
E1269,44,52,97,61,53
E1270,63,42,91,60,77
E1271,100,67,69,53,41
E1272,98,69,59,42,55
E1273,41,48,49,100,54
E1274,47,71,44,62,86
E1275,69,50,86,73,94
E1276,100,77,78,84,74
E1277,95,65,45,81,96
E1278,46,86,91,58,51
E1279,61,52,87,73,42
E1280,45,98,50,90,91
E1281,84,94,59,94,69
E1282,66,55,48,89,70
E1283,86,99,87,95,63
E1284,75,47,94,47,65
E1285,89,79,78,69,62
E1286,49,42,55,84,66
E1287,82,97,99,87,78
E1288,49,82,63,71,50
E1289,60,45,78,67,89
E1290,93,45,85,91,57
E1291,94,87,100,89,99
E1292,100,59,52,73,80
E1293,85,94,98,77,47
E1294,74,65,74,66,80
E1295,49,50,58,52,51
E1296,66,55,41,43,64
E1297,41,84,84,74,49
E1298,70,62,85,46,88
E1299,40,43,76,84,92
E1300,90,51,83,51,95
E1301,94,56,70,61,65
E1302,73,65,67,84,92
E1303,79,41,94,55,93
E1304,41,73,51,43,55
E1305,56,53,68,72,96
E1306,96,62,87,44,99
E1307,56,93,43,50,43
E1308,83,79,80,77,81
E1309,77,73,65,95,97
E1310,95,100,69,69,57
E1311,73,71,86,76,93
E1312,40,83,55,55,63
E1313,79,85,65,98,49
E1314,93,40,58,74,55
E1315,48,94,80,89,46
E1316,91,54,90,75,49
E1317,97,52,55,53,78
E1318,57,89,58,47,50
E1319,97,40,58,89,89
E1320,93,85,44,79,69
E1321,89,56,70,94,78
E1322,80,71,40,40,86
E1323,89,70,43,75,47
E1324,82,43,76,56,60
E1325,42,50,55,60,75
E1326,90,67,53,53,41
E1327,74,48,40,67,83
E1328,48,47,77,98,87
E1329,56,80,80,79,74
E1330,97,75,80,48,67
E1331,66,63,83,95,40
E1332,64,86,98,82,95
E1333,48,94,100,70,86
E1334,88,44,69,56,90
E1335,57,54,48,84,50
E1336,51,58,58,88,45
E1337,93,100,52,66,75
E1338,60,66,63,44,74
E1339,90,50,98,79,99
E1340,40,85,70,71,44
E1341,52,41,71,65,84
E1342,78,68,42,74,73
E1343,56,55,41,78,89
E1344,72,41,64,77,76
E1345,87,50,50,49,75
E1346,100,77,54,54,44
E1347,49,61,71,85,42
E1348,98,46,55,64,96
E1349,63,77,72,72,66
E1350,64,42,63,75,88
E1351,91,61,44,97,62
E1352,65,44,76,94,84
E1353,84,81,75,43,66
E1354,66,65,40,61,84
E1355,58,100,98,94,66
E1356,95,52,42,65,71
E1357,82,85,75,47,48
E1358,66,70,93,74,96
E1359,91,67,40,64,83
E1360,78,73,42,100,97
E1361,60,48,96,91,58
E1362,40,56,74,83,61
E1363,46,72,99,71,85
E1364,63,58,50,70,76
E1365,64,98,42,51,55
E1366,63,55,98,99,85
E1367,100,76,86,56,71
E1368,79,86,58,73,70
E1369,91,90,96,45,78
E1370,82,58,89,52,79
E1371,73,98,80,63,74
E1372,81,71,52,62,76
E1373,60,53,69,44,92
E1374,51,72,46,40,50
E1375,71,64,97,86,54
E1376,87,54,57,67,48
E1377,47,53,99,58,43
E1378,52,100,47,88,51
E1379,64,83,75,92,40
E1380,98,83,67,68,95
E1381,60,71,86,95,84
E1382,41,99,88,58,79
E1383,75,56,62,69,79
E1384,88,88,95,53,46
E1385,98,90,90,80,79
E1386,44,90,42,67,90
E1387,68,94,84,49,74
E1388,85,72,43,71,74
E1389,65,52,58,98,100
E1390,73,100,72,47,70
E1391,96,44,45,45,56
E1392,40,42,58,91,48
E1393,41,99,73,75,74
E1394,71,91,46,60,88
E1395,41,57,86,43,42
E1396,84,79,49,84,99
E1397,80,98,100,76,91
E1398,100,58,63,71,88
E1399,80,70,85,60,64
E1400,80,98,44,73,65
E1401,47,40,42,50,43
E1402,62,69,72,84,62
E1403,53,81,60,68,99
E1404,43,47,47,52,93
E1405,86,81,47,68,45
E1406,49,76,82,53,76
E1407,90,46,85,60,57
E1408,92,55,84,42,63
E1409,69,76,86,40,46
E1410,72,48,46,72,45
E1411,40,68,98,67,82
E1412,54,94,44,88,74
E1413,45,94,93,86,69
E1414,84,64,57,42,70
E1415,40,44,96,86,76
E1416,58,63,48,42,80
E1417,100,84,64,63,89
E1418,86,98,78,51,40
E1419,62,59,53,86,56
E1420,55,100,59,86,71
E1421,49,80,74,51,82
E1422,44,73,85,56,58
E1423,70,89,49,84,42
E1424,62,62,93,41,97
E1425,89,40,76,72,98
E1426,67,40,62,45,68
E1427,62,44,45,51,49
E1428,58,64,77,81,44
E1429,82,59,47,87,45
E1430,85,77,66,72,75
E1431,68,79,47,96,57
E1432,98,67,60,59,66
E1433,45,90,89,47,64
E1434,74,53,73,84,82
E1435,40,70,80,99,52
E1436,80,67,65,78,80
E1437,77,78,41,96,56
E1438,40,58,80,97,73
E1439,97,59,95,71,40
E1440,49,92,47,71,88
E1441,82,90,86,59,68
E1442,75,81,99,79,64
E1443,96,49,54,85,46
E1444,94,54,67,49,77
E1445,79,96,89,86,87
E1446,99,40,89,72,91
E1447,51,69,53,93,83
E1448,75,41,89,82,67
E1449,79,54,80,57,93
E1450,62,66,63,91,54
E1451,92,57,81,96,64
E1452,53,98,68,93,49
E1453,74,97,51,79,78
E1454,48,97,52,40,44
E1455,64,81,79,90,89
E1456,97,75,80,97,57
E1457,75,52,98,43,53
E1458,80,52,51,55,52
E1459,74,63,51,96,81
E1460,72,99,91,53,93
E1461,84,48,55,65,53
E1462,97,40,80,60,63
E1463,62,72,71,41,61
E1464,99,76,50,87,46
E1465,96,68,52,63,88
E1466,42,79,89,63,80
E1467,53,46,68,92,99
E1468,85,83,60,46,67
E1469,40,77,66,90,96
E1470,76,56,60,100,96
E1471,66,85,52,47,84
E1472,56,44,53,58,71
E1473,47,42,67,61,98
E1474,59,65,68,66,46
E1475,44,79,64,89,93
E1476,82,46,74,60,63
E1477,85,65,50,70,46
E1478,55,81,50,58,95
E1479,50,73,78,92,93
E1480,47,81,44,41,41
E1481,51,43,50,47,51
E1482,47,96,68,80,42
E1483,60,43,91,73,51
E1484,63,65,59,95,52
E1485,65,48,58,89,83
E1486,100,71,57,43,96
E1487,43,67,71,82,76
E1488,59,92,60,95,91
E1489,66,77,50,44,50
E1490,71,95,83,40,97
E1491,82,87,95,58,69
E1492,87,85,42,98,85
E1493,81,84,68,69,99
E1494,85,67,66,50,65
E1495,54,64,79,77,51
E1496,53,45,76,100,60
E1497,42,50,58,41,93
E1498,93,47,63,85,65
E1499,53,81,59,65,66
E1500,53,87,42,94,100
E1501,100,43,57,68,79
E1502,58,92,60,51,47
E1503,43,69,53,100,84
E1504,75,78,86,97,72
E1505,76,82,52,86,78
E1506,66,77,55,60,87
E1507,78,98,80,70,51
E1508,40,85,96,73,65
E1509,90,80,68,97,53
E1510,68,51,41,54,55
E1511,100,95,98,96,98
E1512,60,64,66,48,55
E1513,95,64,86,70,41
E1514,67,41,79,45,85
E1515,46,54,80,93,54
E1516,97,53,92,79,40
E1517,100,62,50,91,57
E1518,91,54,54,99,84
E1519,77,65,87,76,92
E1520,67,70,92,97,74
E1521,65,59,100,82,62
E1522,46,60,97,67,80
E1523,41,48,81,78,53
E1524,88,73,95,59,80
E1525,69,64,68,65,76
E1526,42,62,97,46,96
E1527,55,86,66,46,60
E1528,45,91,85,74,56
E1529,80,67,97,75,47
E1530,42,74,45,40,100
E1531,84,94,63,57,77
E1532,89,94,45,64,89
E1533,60,45,40,92,79
E1534,95,93,96,94,99
E1535,47,61,46,48,79
E1536,46,83,84,90,74
E1537,98,85,42,80,92
E1538,67,65,82,82,96
E1539,95,78,100,77,82
E1540,41,71,77,43,82
E1541,64,55,99,90,77
E1542,48,59,86,73,74
E1543,55,92,65,41,46
E1544,57,74,59,61,48
E1545,96,67,96,61,93
E1546,100,99,70,56,59
E1547,44,73,100,86,89
E1548,46,61,63,50,47
E1549,73,95,47,91,65
E1550,98,78,81,73,41
E1551,89,54,62,63,88
E1552,76,74,61,56,46
E1553,60,94,52,87,95
E1554,54,93,94,93,87
E1555,71,70,69,75,66
E1556,85,47,53,46,66
E1557,89,71,80,99,66
E1558,85,50,55,91,63
E1559,95,46,66,72,61
E1560,70,62,80,63,71
E1561,76,74,55,43,74
E1562,66,96,97,41,50
E1563,96,65,97,44,57
E1564,74,44,55,43,54
E1565,69,61,54,41,78
E1566,62,82,55,92,97
E1567,93,94,73,100,78
E1568,77,88,84,49,58
E1569,41,99,87,94,45
E1570,84,95,56,92,80
E1571,76,55,67,92,49
E1572,49,77,63,73,95
E1573,80,41,86,65,72
E1574,99,99,79,90,69
E1575,64,93,91,50,40
E1576,72,79,87,81,89
E1577,91,53,72,80,82
E1578,79,59,79,40,43
E1579,92,56,62,81,91
E1580,88,70,93,59,94
E1581,40,70,53,77,80
E1582,42,80,64,86,69
E1583,83,98,50,96,86
E1584,77,75,98,40,56
E1585,62,98,94,43,47
E1586,93,98,42,66,46
E1587,99,94,52,71,96
E1588,83,53,48,53,78
E1589,56,52,71,63,76
E1590,86,76,46,83,89
E1591,63,84,98,91,41
E1592,53,52,42,90,42
E1593,60,96,50,66,48
E1594,97,92,85,46,58
E1595,82,74,74,40,77
E1596,84,45,75,73,76
E1597,63,100,100,53,55
E1598,55,48,87,52,64
E1599,82,85,99,79,69
E1600,53,75,83,50,60
E1601,65,96,94,59,82
E1602,47,50,79,48,88
E1603,67,85,42,67,69
E1604,82,50,97,50,42
E1605,91,57,88,100,61
E1606,91,94,63,95,42
E1607,57,54,76,82,67
E1608,95,82,87,95,52
E1609,88,89,53,83,52
E1610,46,71,53,43,45
E1611,96,68,90,68,76
E1612,85,58,76,89,40
E1613,69,46,77,72,81
E1614,55,96,42,55,59
E1615,47,44,76,77,97
E1616,73,80,92,58,56
E1617,91,83,42,94,71
E1618,100,58,73,68,45
E1619,42,69,59,86,77
E1620,56,97,78,63,81
E1621,71,75,58,97,81
E1622,89,85,49,52,95
E1623,55,92,60,55,40
E1624,77,69,45,58,75
E1625,72,79,81,51,99
E1626,46,58,54,85,92
E1627,55,96,52,50,58
E1628,88,64,97,40,45
E1629,90,91,80,56,79
E1630,98,75,59,72,64
E1631,42,98,96,98,42
E1632,83,80,76,76,70
E1633,97,57,76,40,68
E1634,40,46,93,69,70
E1635,80,81,67,95,56
E1636,46,93,83,65,90
E1637,47,96,86,75,94
E1638,45,97,91,71,61
E1639,89,92,84,84,72
E1640,86,83,78,94,51
E1641,76,49,43,96,100
E1642,51,42,86,96,46
E1643,90,93,64,64,70
E1644,69,66,82,52,80
E1645,85,79,78,60,82
E1646,96,71,83,96,40
E1647,43,64,90,77,97
E1648,43,96,79,61,95
E1649,56,96,65,48,79
E1650,81,64,91,86,81
E1651,100,40,59,68,64
E1652,65,88,96,63,75
E1653,40,86,89,93,77
E1654,74,100,53,65,89
E1655,44,96,80,91,60
E1656,90,66,69,44,48
E1657,43,60,49,48,81
E1658,69,81,55,95,47
E1659,57,79,49,93,63
E1660,94,98,40,68,66
E1661,48,54,53,79,61
E1662,47,79,98,54,75
E1663,66,99,86,44,70
E1664,47,44,47,45,89
E1665,43,53,88,63,65
E1666,40,85,56,91,63
E1667,66,99,92,52,42
E1668,67,65,92,97,60
E1669,97,57,48,47,100
E1670,59,66,84,47,44
E1671,81,48,92,83,89
E1672,95,66,77,86,71
E1673,100,57,86,81,51
E1674,60,54,94,61,97
E1675,41,48,80,91,42
E1676,100,44,56,48,88
E1677,73,85,48,62,50
E1678,64,48,46,77,93
E1679,56,100,62,90,69
E1680,67,65,58,77,61
E1681,85,46,62,49,63
E1682,56,60,62,77,63
E1683,50,47,92,71,71
E1684,99,73,57,67,57
E1685,89,72,94,48,47
E1686,66,98,71,77,56
E1687,44,88,61,90,49
E1688,80,42,81,60,79
E1689,47,68,56,96,93
E1690,76,82,67,52,41
E1691,75,71,54,86,48
E1692,57,54,53,57,70
E1693,96,88,50,58,65
E1694,77,64,63,76,49
E1695,86,71,60,65,90
E1696,41,56,54,82,94
E1697,97,62,76,61,51
E1698,46,47,60,80,74
E1699,72,63,60,88,55
E1700,62,43,77,68,55
E1701,70,49,80,76,68
E1702,47,59,96,62,77
E1703,59,89,77,54,84
E1704,83,60,85,59,84
E1705,77,95,68,44,49
E1706,46,88,81,47,88
E1707,91,44,75,82,53
E1708,48,89,85,84,62
E1709,78,79,62,64,76
E1710,92,70,66,52,52
E1711,43,42,65,43,45
E1712,69,66,84,59,84
E1713,73,58,82,40,96
E1714,98,83,97,80,56
E1715,88,98,75,68,76
E1716,91,77,100,46,55
E1717,70,60,50,45,42
E1718,98,86,46,52,48
E1719,81,55,48,48,66
E1720,54,96,94,60,48
E1721,100,66,84,93,100
E1722,75,99,42,85,60
E1723,85,53,71,68,78
E1724,53,61,70,62,52
E1725,83,96,52,96,68
E1726,48,65,50,49,76
E1727,56,97,78,63,44
E1728,96,81,76,40,53
E1729,47,74,89,92,81
E1730,58,59,45,70,82
E1731,89,56,81,42,88
E1732,46,98,69,97,81
E1733,53,74,87,97,100
E1734,87,94,70,70,47
E1735,79,98,67,98,64
E1736,79,58,85,71,50
E1737,76,45,96,54,73
E1738,73,69,89,65,62
E1739,95,80,97,54,55
E1740,42,93,40,48,65
E1741,93,94,54,79,46
E1742,77,74,47,66,62
E1743,88,59,81,55,48
E1744,48,49,93,97,84
E1745,95,43,50,92,79
E1746,53,100,45,93,48
E1747,45,93,94,82,62
E1748,81,78,43,69,55
E1749,74,82,51,43,89
E1750,89,65,78,96,76
E1751,83,88,91,94,72
E1752,60,57,55,61,57
E1753,49,57,53,71,77
E1754,88,87,43,100,84
E1755,53,51,47,73,81
E1756,80,58,99,80,92
E1757,67,64,95,92,46
E1758,57,75,58,88,77
E1759,84,43,48,60,64
E1760,50,79,44,85,57
E1761,46,93,68,42,59
E1762,95,64,44,88,86
E1763,53,79,86,89,70
E1764,81,42,62,96,82
E1765,48,47,52,100,91
E1766,47,68,68,69,87
E1767,58,65,40,52,94
E1768,69,88,88,55,91
E1769,73,43,60,87,55
E1770,85,64,65,53,90
E1771,67,78,50,84,71
E1772,58,44,49,49,94
E1773,80,90,94,54,45
E1774,54,49,51,83,78
E1775,81,69,59,78,73
E1776,57,70,97,98,86
E1777,75,41,79,69,48
E1778,99,95,60,95,83
E1779,51,84,98,97,78
E1780,42,61,61,68,70
E1781,74,68,61,98,98
E1782,67,93,63,100,72
E1783,68,84,93,96,58
E1784,51,70,43,86,56
E1785,98,96,85,90,82
E1786,74,55,64,90,54
E1787,71,41,42,100,51
E1788,72,77,42,85,63
E1789,93,60,66,91,55
E1790,58,74,96,81,80
E1791,88,40,59,87,98
E1792,74,41,85,96,85
E1793,93,50,52,64,40
E1794,80,57,80,98,94
E1795,61,77,48,98,62
E1796,73,45,98,85,49
E1797,53,83,89,45,48
E1798,61,65,81,50,75
E1799,57,54,83,88,67
E1800,74,87,64,51,100
E1801,78,90,50,43,51
E1802,51,99,94,81,84
E1803,56,60,89,51,49
E1804,73,70,79,60,62
E1805,62,66,88,65,40
E1806,52,97,40,60,43
E1807,68,92,98,68,80
E1808,61,58,48,54,70
E1809,50,86,82,62,88
E1810,87,77,78,83,51
E1811,58,57,83,95,58
E1812,46,68,48,89,98
E1813,99,50,88,40,82
E1814,90,65,89,71,84
E1815,77,99,41,48,71
E1816,56,45,60,92,99
E1817,91,76,75,100,84
E1818,40,99,47,61,43
E1819,86,85,60,41,42
E1820,72,85,74,77,87
E1821,61,60,77,52,84
E1822,70,56,93,49,90
E1823,45,95,62,55,40
E1824,94,95,87,80,97
E1825,66,66,78,49,65
E1826,99,80,56,62,95
E1827,70,47,74,48,69
E1828,96,76,42,86,97
E1829,58,75,93,67,92
E1830,69,44,69,98,63
E1831,59,47,49,95,96
E1832,85,80,83,69,46
E1833,73,49,46,91,61
E1834,85,71,73,98,78
E1835,87,56,96,92,46
E1836,62,98,46,50,87
E1837,65,79,92,63,40
E1838,100,64,42,49,58
E1839,64,57,46,96,57
E1840,59,60,43,53,84
E1841,96,83,61,61,96
E1842,41,42,79,76,43
E1843,75,80,48,54,71
E1844,43,97,93,41,57
E1845,94,51,42,88,53
E1846,66,57,45,49,90
E1847,63,100,90,85,65
E1848,69,100,58,55,42
E1849,96,71,69,81,42
E1850,84,88,93,87,66
E1851,99,64,48,61,75
E1852,68,54,97,55,72
E1853,47,93,87,69,71
E1854,61,95,60,43,47
E1855,50,79,71,54,60
E1856,86,70,68,97,49
E1857,87,91,92,93,44
E1858,73,100,55,48,57
E1859,78,56,50,84,52
E1860,50,65,58,60,79
E1861,92,72,44,49,49
E1862,83,57,76,69,65
E1863,83,100,94,83,87
E1864,41,91,88,76,42
E1865,90,40,77,59,45
E1866,98,52,54,96,41
E1867,50,51,73,70,54
E1868,63,44,68,62,86
E1869,88,47,40,71,78
E1870,90,74,97,64,51
E1871,99,85,67,81,48
E1872,44,87,40,60,84
E1873,99,63,69,93,62
E1874,60,74,96,60,88
E1875,93,74,66,85,60
E1876,69,96,85,43,98
E1877,56,69,75,69,64
E1878,50,70,76,53,62
E1879,66,57,56,60,72
E1880,85,70,58,43,42
E1881,65,74,46,68,70
E1882,73,86,64,69,91
E1883,93,63,75,87,49
E1884,66,93,58,86,52
E1885,84,69,56,43,46
E1886,73,91,75,85,100
E1887,56,99,92,58,64
E1888,49,86,75,72,63
E1889,83,100,100,49,81
E1890,40,90,90,51,90
E1891,85,74,97,51,77
E1892,59,62,56,70,82
E1893,94,41,67,49,73
E1894,89,55,47,52,80
E1895,61,93,80,57,42
E1896,78,84,68,62,61
E1897,69,55,43,97,64
E1898,82,66,79,76,71
E1899,47,66,55,65,40
E1900,40,89,78,91,70
E1901,83,93,93,46,57
E1902,40,69,53,80,81
E1903,42,53,87,40,70
E1904,83,89,73,49,85
E1905,48,48,65,42,61
E1906,95,94,42,62,68
E1907,77,85,75,48,91
E1908,80,80,48,99,95
E1909,65,90,75,99,54
E1910,77,95,52,90,68
E1911,52,55,52,49,41
E1912,95,65,42,41,69
E1913,44,46,97,87,68
E1914,84,83,87,57,57
E1915,81,84,59,80,80
E1916,82,73,99,60,62
E1917,78,43,49,59,48
E1918,45,64,48,51,77
E1919,84,85,91,54,100
E1920,58,87,40,96,76
E1921,74,95,94,73,82
E1922,65,62,67,75,88
E1923,99,83,75,95,67
E1924,61,83,48,73,73
E1925,70,60,64,55,60
E1926,79,98,46,63,91
E1927,87,50,51,68,72
E1928,43,85,95,97,58
E1929,88,80,49,80,51
E1930,64,73,60,56,76
E1931,82,65,60,62,96
E1932,89,89,74,68,93
E1933,90,61,77,63,49
E1934,62,68,42,90,99
E1935,51,47,45,79,98
E1936,77,53,57,96,83
E1937,47,61,50,81,65
E1938,43,81,63,95,44
E1939,96,45,60,66,75
E1940,88,61,89,67,83
E1941,49,79,59,89,58
E1942,83,84,71,56,78
E1943,85,96,97,85,93
E1944,49,95,54,41,81
E1945,86,96,92,85,51
E1946,69,85,80,97,91
E1947,75,84,81,56,51
E1948,54,75,67,87,89
E1949,70,49,42,56,52
E1950,84,77,76,42,42
E1951,80,53,96,87,78
E1952,86,97,40,53,70
E1953,40,85,78,70,56
E1954,44,98,48,59,89
E1955,74,80,100,67,78
E1956,72,88,63,42,98
E1957,71,74,54,93,85
E1958,92,70,42,71,68
E1959,78,58,51,61,61
E1960,97,66,73,79,86
E1961,100,62,79,92,76
E1962,96,71,45,71,52
E1963,97,80,94,76,78
E1964,96,65,89,97,46
E1965,66,45,84,67,90
E1966,88,62,91,40,56
E1967,79,43,67,46,88
E1968,45,88,49,59,89
E1969,75,87,65,76,92
E1970,98,58,51,78,95
E1971,64,46,89,80,73
E1972,78,67,60,48,83
E1973,68,55,94,58,45
E1974,59,98,44,65,60
E1975,55,95,74,88,87
E1976,50,90,62,45,90
E1977,58,51,65,98,67
E1978,44,98,94,72,66
E1979,85,49,81,42,62
E1980,66,84,45,67,100
E1981,99,68,79,44,76
E1982,87,53,43,98,93
E1983,41,72,70,43,63
E1984,57,57,61,62,85
E1985,70,98,92,86,99
E1986,58,46,66,96,50
E1987,45,97,43,56,48
E1988,44,57,83,96,59
E1989,72,60,52,47,93
E1990,74,91,80,100,87
E1991,67,55,89,97,42
E1992,53,77,63,66,100
E1993,48,70,97,71,78
E1994,78,76,94,93,69
