Enrollmentno,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,choice9,choice10
E0728,C0024-ME,C0032-AUTO,C0035-AUTO,C0009-AUTO,C0009-AUTO,C0029-AUTO,C0037-IC,C0045-ME,C0046-ME,C0004-IC
E0729,C0010-IC,C0024-ME,C0040-IC,C0030-IC,C0026-ME,C0045-IC,C0028-ME,C0025-ME,C0047-ME,C0013-ME
E0730,C0036-CIVIL,C0002-CIVIL,C0007-CIVIL,C0016-CIVIL,C0005-CIVIL,C0009-CIVIL,C0040-CH,C0004-CH,C0026-CH,C0033-CIVIL
E0731,C0031-EC,C0012-EC,C0031-EE,C0049-EE,C0032-EC,C0017-EE,C0030-EE,C0008-EC,C0025-EE,C0032-EC
E0732,C0033-IC,C0038-AUTO,C0035-ME,C0015-AUTO,C0008-ME,C0033-IC,C0007-ME,C0009-IC,C0015-AUTO,C0013-IC
E0733,C0012-IT,C0011-CSE,C0006-CSE,C0021-CSE,C0003-IT,C0040-CSE,C0001-CSE,C0011-CSE,C0038-CSE,C0021-IT
E0734,C0024-ME,C0046-AUTO,C0050-ME,C0009-IC,C0007-ME,C0033-ME,C0049-AUTO,C0050-AUTO,C0029-IC,C0019-AUTO
E0735,C0031-EE,C0007-EC,C0031-EC,C0035-EE,C0011-EE,C0033-EC,C0012-EE,C0001-EC,C0026-EC,C0048-EC
E0736,C0013-CSE,C0029-IT,C0003-CSE,C0009-IT,C0012-CSE,C0011-CSE,C0001-CSE,C0026-IT,C0013-CSE,C0039-CSE
E0737,C0014-CIVIL,C0019-CH,C0017-CIVIL,C0042-CIVIL,C0025-CH,C0013-CH,C0002-CH,C0019-CIVIL,C0012-CIVIL,C0025-CIVIL
E0738,C0034-CSE,C0033-IT,C0038-CSE,C0006-IT,C0044-CSE,C0007-CSE,C0012-IT,C0034-CSE,C0022-IT,C0011-IT
E0739,C0008-IT,C0022-CSE,C0050-CSE,C0021-IT,C0034-IT,C0044-IT,C0003-CSE,C0011-CSE,C0040-CSE,C0024-IT
E0740,C0032-IT,C0020-CSE,C0039-CSE,C0024-IT,C0043-IT,C0030-CSE,C0043-IT,C0011-CSE,C0042-IT,C0030-IT
E0741,C0012-EE,C0049-EE,C0002-EE,C0018-EE,C0029-EE,C0034-EE,C0022-EC,C0011-EC,C0003-EE,C0002-EE
E0742,C0009-CIVIL,C0041-CIVIL,C0048-CIVIL,C0038-CIVIL,C0045-CIVIL,C0003-CIVIL,C0044-CH,C0007-CIVIL,C0023-CIVIL,C0033-CH
E0743,C0030-CSE,C0022-IT,C0030-CSE,C0021-CSE,C0028-IT,C0028-IT,C0024-IT,C0044-CSE,C0022-CSE,C0032-CSE
E0744,C0044-CH,C0037-CIVIL,C0009-CH,C0018-CIVIL,C0033-CIVIL,C0020-CIVIL,C0010-CH,C0006-CH,C0046-CH,C0048-CH
E0745,C0012-IT,C0049-CSE,C0010-IT,C0018-IT,C0050-IT,C0042-IT,C0018-IT,C0010-CSE,C0022-IT,C0039-CSE
E0746,C0028-ME,C0019-AUTO,C0023-AUTO,C0030-ME,C0013-IC,C0029-AUTO,C0001-IC,C0044-AUTO,C0032-ME,C0021-IC
E0747,C0048-EC,C0020-EE,C0003-EC,C0035-EE,C0009-EC,C0011-EC,C0003-EE,C0041-EE,C0049-EC,C0047-EE
E0748,C0010-CSE,C0020-IT,C0037-CSE,C0042-CSE,C0012-IT,C0037-CSE,C0011-CSE,C0045-IT,C0044-IT,C0008-IT
E0749,C0047-EE,C0047-EE,C0026-EE,C0038-EE,C0012-EE,C0009-EE,C0032-EC,C0008-EC,C0043-EC,C0050-EC
E0750,C0017-ME,C0012-AUTO,C0035-IC,C0046-AUTO,C0042-IC,C0015-ME,C0018-ME,C0026-ME,C0018-ME,C0022-IC
E0751,C0026-AUTO,C0035-AUTO,C0022-AUTO,C0043-AUTO,C0031-IC,C0023-ME,C0007-AUTO,C0033-AUTO,C0018-ME,C0047-AUTO
E0752,C0021-EC,C0037-EC,C0012-EC,C0044-EE,C0012-EE,C0013-EE,C0030-EE,C0003-EC,C0007-EE,C0031-EC
E0753,C0017-AUTO,C0030-IC,C0046-AUTO,C0033-AUTO,C0036-AUTO,C0036-AUTO,C0021-ME,C0036-AUTO,C0044-AUTO,C0037-IC
E0754,C0032-CSE,C0030-CSE,C0043-IT,C0043-CSE,C0034-IT,C0001-IT,C0038-CSE,C0031-IT,C0014-IT,C0039-IT
E0755,C0011-IT,C0038-CSE,C0009-IT,C0021-CSE,C0002-IT,C0009-CSE,C0045-IT,C0050-IT,C0017-IT,C0011-CSE
E0756,C0031-EC,C0009-EC,C0025-EC,C0003-EC,C0015-EC,C0031-EE,C0027-EC,C0023-EE,C0021-EC,C0009-EC
E0757,C0008-ME,C0043-AUTO,C0009-ME,C0049-IC,C0028-ME,C0034-AUTO,C0034-IC,C0019-IC,C0021-IC,C0006-ME
E0758,C0050-IT,C0029-CSE,C0014-IT,C0016-IT,C0002-IT,C0040-IT,C0005-IT,C0039-CSE,C0045-IT,C0018-CSE
E0759,C0014-AUTO,C0019-ME,C0015-ME,C0032-AUTO,C0049-ME,C0019-AUTO,C0011-IC,C0016-IC,C0029-AUTO,C0036-ME
E0760,C0009-CIVIL,C0019-CH,C0013-CH,C0003-CH,C0021-CIVIL,C0017-CH,C0005-CIVIL,C0035-CH,C0041-CIVIL,C0026-CH
E0761,C0007-CIVIL,C0031-CIVIL,C0025-CH,C0046-CH,C0032-CIVIL,C0017-CH,C0023-CH,C0049-CIVIL,C0013-CH,C0017-CH
E0762,C0014-EE,C0014-EC,C0017-EC,C0036-EE,C0028-EC,C0032-EE,C0021-EC,C0035-EE,C0050-EE,C0047-EE
E0763,C0016-IC,C0026-AUTO,C0024-ME,C0014-AUTO,C0001-IC,C0045-IC,C0033-AUTO,C0015-IC,C0049-AUTO,C0002-IC
E0764,C0018-CSE,C0008-CSE,C0032-IT,C0026-IT,C0034-CSE,C0014-IT,C0037-IT,C0022-CSE,C0001-CSE,C0049-CSE
E0765,C0008-IT,C0018-IT,C0040-IT,C0018-IT,C0044-IT,C0017-IT,C0044-IT,C0001-CSE,C0012-IT,C0049-IT
E0766,C0027-EC,C0050-EC,C0049-EE,C0042-EC,C0005-EE,C0035-EE,C0007-EC,C0036-EE,C0005-EE,C0046-EE
E0767,C0040-EC,C0028-EC,C0025-EC,C0005-EE,C0043-EC,C0036-EE,C0041-EE,C0008-EC,C0040-EE,C0050-EC
E0768,C0019-IC,C0030-IC,C0006-IC,C0035-IC,C0028-ME,C0007-ME,C0004-IC,C0013-ME,C0019-ME,C0022-AUTO
E0769,C0044-IC,C0007-IC,C0006-AUTO,C0018-AUTO,C0022-ME,C0006-ME,C0046-AUTO,C0033-AUTO,C0006-ME,C0043-AUTO
E0770,C0023-CSE,C0037-IT,C0024-IT,C0035-IT,C0016-IT,C0049-IT,C0004-CSE,C0049-IT,C0049-IT,C0034-CSE
E0771,C0007-EE,C0033-EC,C0036-EE,C0038-EE,C0026-EE,C0044-EE,C0013-EE,C0033-EC,C0048-EC,C0009-EE
E0772,C0005-EE,C0020-EE,C0039-EE,C0005-EE,C0034-EE,C0008-EC,C0031-EC,C0034-EC,C0018-EC,C0011-EC
E0773,C0006-CIVIL,C0048-CH,C0030-CH,C0030-CIVIL,C0048-CH,C0042-CH,C0041-CH,C0027-CIVIL,C0018-CIVIL,C0035-CH
E0774,C0047-IC,C0023-AUTO,C0045-ME,C0039-ME,C0044-AUTO,C0014-AUTO,C0050-ME,C0034-IC,C0019-ME,C0007-IC
E0775,C0025-CH,C0046-CH,C0005-CIVIL,C0008-CH,C0026-CH,C0048-CH,C0049-CH,C0025-CIVIL,C0035-CH,C0012-CH
E0776,C0038-EE,C0001-EC,C0042-EC,C0046-EC,C0030-EC,C0018-EE,C0023-EE,C0037-EE,C0046-EC,C0045-EE
E0777,C0042-CSE,C0026-IT,C0040-CSE,C0032-IT,C0040-IT,C0011-CSE,C0003-CSE,C0024-IT,C0050-CSE,C0028-IT
E0778,C0049-CIVIL,C0006-CH,C0038-CH,C0024-CH,C0040-CIVIL,C0003-CIVIL,C0044-CIVIL,C0038-CH,C0020-CIVIL,C0026-CH
E0779,C0034-ME,C0038-AUTO,C0017-IC,C0039-AUTO,C0027-ME,C0042-IC,C0050-ME,C0016-ME,C0027-ME,C0011-AUTO
E0780,C0009-CSE,C0037-CSE,C0003-CSE,C0038-CSE,C0050-IT,C0005-CSE,C0041-CSE,C0014-IT,C0029-IT,C0031-IT
E0781,C0046-CH,C0024-CH,C0034-CIVIL,C0034-CIVIL,C0049-CIVIL,C0014-CIVIL,C0009-CIVIL,C0003-CH,C0013-CIVIL,C0033-CIVIL
E0782,C0043-EE,C0018-EC,C0030-EE,C0014-EC,C0046-EE,C0008-EC,C0037-EC,C0026-EE,C0030-EE,C0031-EC
E0783,C0007-AUTO,C0049-IC,C0021-AUTO,C0005-AUTO,C0029-IC,C0019-AUTO,C0024-AUTO,C0023-AUTO,C0005-AUTO,C0006-ME
E0784,C0050-CIVIL,C0003-CH,C0005-CIVIL,C0013-CIVIL,C0016-CIVIL,C0009-CH,C0004-CIVIL,C0031-CIVIL,C0013-CH,C0049-CH
E0785,C0018-IT,C0030-IT,C0038-CSE,C0022-CSE,C0040-IT,C0003-CSE,C0010-IT,C0043-CSE,C0027-IT,C0013-CSE
E0786,C0027-EC,C0010-EE,C0030-EC,C0031-EC,C0016-EE,C0009-EC,C0050-EE,C0049-EC,C0026-EE,C0030-EE
E0787,C0032-EE,C0009-EE,C0045-EE,C0036-EE,C0011-EC,C0033-EC,C0035-EE,C0008-EC,C0033-EC,C0026-EE
E0788,C0030-EC,C0012-EE,C0048-EC,C0001-EC,C0042-EE,C0034-EC,C0015-EC,C0003-EC,C0013-EC,C0017-EE
E0789,C0034-ME,C0039-IC,C0016-AUTO,C0032-AUTO,C0034-ME,C0035-IC,C0017-ME,C0007-AUTO,C0049-IC,C0024-AUTO
E0790,C0001-IT,C0010-CSE,C0024-CSE,C0010-CSE,C0015-IT,C0012-CSE,C0012-IT,C0010-IT,C0036-CSE,C0018-IT
E0791,C0015-IT,C0043-IT,C0040-CSE,C0024-CSE,C0006-CSE,C0011-IT,C0049-CSE,C0032-IT,C0012-CSE,C0047-CSE
E0792,C0011-IT,C0045-IT,C0044-CSE,C0024-CSE,C0020-CSE,C0028-IT,C0037-CSE,C0048-IT,C0024-IT,C0032-IT
E0793,C0022-CSE,C0031-CSE,C0019-CSE,C0011-IT,C0022-IT,C0006-CSE,C0015-IT,C0009-CSE,C0028-IT,C0050-CSE
E0794,C0022-IC,C0027-IC,C0030-ME,C0011-AUTO,C0007-AUTO,C0007-ME,C0021-IC,C0047-AUTO,C0017-AUTO,C0018-ME
E0795,C0045-CIVIL,C0015-CIVIL,C0046-CH,C0024-CIVIL,C0025-CH,C0025-CIVIL,C0005-CH,C0033-CIVIL,C0017-CIVIL,C0032-CIVIL
E0796,C0017-CIVIL,C0025-CIVIL,C0005-CIVIL,C0025-CH,C0006-CH,C0018-CH,C0002-CIVIL,C0008-CIVIL,C0040-CIVIL,C0046-CH
E0797,C0042-CSE,C0046-IT,C0044-CSE,C0040-CSE,C0044-CSE,C0009-CSE,C0043-IT,C0048-IT,C0022-IT,C0004-CSE
E0798,C0050-EC,C0036-EE,C0031-EE,C0023-EE,C0037-EE,C0047-EE,C0042-EE,C0015-EE,C0037-EE,C0046-EC
E0799,C0006-CIVIL,C0024-CH,C0040-CIVIL,C0026-CIVIL,C0029-CH,C0035-CIVIL,C0034-CIVIL,C0002-CIVIL,C0039-CH,C0022-CH
E0800,C0044-CH,C0021-CH,C0013-CH,C0020-CIVIL,C0031-CIVIL,C0023-CH,C0010-CIVIL,C0034-CIVIL,C0018-CIVIL,C0032-CIVIL
E0801,C0019-CSE,C0017-IT,C0036-CSE,C0030-CSE,C0041-CSE,C0019-IT,C0022-IT,C0012-IT,C0010-IT,C0018-CSE
E0802,C0010-CH,C0040-CH,C0046-CIVIL,C0033-CH,C0011-CH,C0017-CH,C0010-CIVIL,C0029-CH,C0006-CIVIL,C0009-CH
E0803,C0029-IT,C0015-IT,C0029-IT,C0005-CSE,C0040-IT,C0028-CSE,C0011-CSE,C0021-CSE,C0029-CSE,C0049-CSE
E0804,C0048-ME,C0014-IC,C0015-ME,C0037-AUTO,C0019-AUTO,C0047-AUTO,C0005-AUTO,C0012-AUTO,C0035-IC,C0017-IC
E0805,C0041-CH,C0046-CH,C0033-CH,C0030-CH,C0032-CIVIL,C0007-CIVIL,C0049-CH,C0008-CH,C0038-CH,C0029-CH
E0806,C0016-AUTO,C0005-IC,C0006-ME,C0005-AUTO,C0035-IC,C0009-ME,C0008-IC,C0004-IC,C0044-IC,C0007-AUTO
E0807,C0010-CSE,C0011-CSE,C0010-CSE,C0014-IT,C0019-IT,C0013-CSE,C0015-IT,C0025-IT,C0024-CSE,C0013-CSE
E0808,C0045-IT,C0036-IT,C0042-IT,C0043-IT,C0012-CSE,C0026-IT,C0047-CSE,C0024-CSE,C0018-IT,C0019-CSE
E0809,C0042-EE,C0048-EC,C0027-EC,C0045-EE,C0023-EE,C0016-EC,C0003-EE,C0016-EC,C0003-EE,C0032-EC
E0810,C0033-IT,C0017-IT,C0034-CSE,C0033-CSE,C0001-CSE,C0002-IT,C0040-CSE,C0039-CSE,C0050-IT,C0017-IT
E0811,C0032-IT,C0018-IT,C0036-IT,C0040-CSE,C0011-CSE,C0030-IT,C0017-IT,C0032-IT,C0020-CSE,C0040-IT
E0812,C0034-CSE,C0012-IT,C0048-IT,C0039-CSE,C0036-IT,C0049-CSE,C0010-CSE,C0026-IT,C0022-IT,C0042-CSE
E0813,C0038-IT,C0018-IT,C0005-IT,C0045-IT,C0002-IT,C0040-IT,C0012-IT,C0040-IT,C0043-IT,C0047-CSE
E0814,C0009-CH,C0044-CIVIL,C0038-CIVIL,C0024-CIVIL,C0040-CH,C0027-CIVIL,C0044-CH,C0010-CH,C0017-CIVIL,C0013-CIVIL
E0815,C0001-CSE,C0031-IT,C0015-IT,C0017-IT,C0028-IT,C0016-IT,C0040-CSE,C0015-IT,C0042-IT,C0014-IT
E0816,C0030-CIVIL,C0008-CIVIL,C0040-CIVIL,C0044-CH,C0042-CH,C0010-CIVIL,C0029-CH,C0012-CH,C0011-CH,C0032-CIVIL
E0817,C0049-AUTO,C0016-AUTO,C0043-ME,C0003-ME,C0035-ME,C0033-IC,C0029-IC,C0014-IC,C0047-AUTO,C0016-AUTO
E0818,C0029-EE,C0049-EC,C0007-EE,C0015-EC,C0016-EC,C0043-EC,C0015-EE,C0009-EC,C0043-EE,C0005-EE
E0819,C0026-CIVIL,C0018-CIVIL,C0010-CIVIL,C0025-CH,C0042-CH,C0020-CIVIL,C0023-CH,C0023-CH,C0007-CIVIL,C0036-CH
E0820,C0015-ME,C0046-ME,C0042-IC,C0034-ME,C0037-AUTO,C0050-IC,C0047-IC,C0025-AUTO,C0030-AUTO,C0024-AUTO
E0821,C0038-EC,C0034-EC,C0018-EE,C0002-EE,C0037-EE,C0031-EE,C0022-EC,C0043-EC,C0007-EE,C0021-EC
E0822,C0002-IC,C0012-AUTO,C0042-IC,C0035-IC,C0030-IC,C0027-IC,C0029-AUTO,C0030-AUTO,C0014-IC,C0025-AUTO
E0823,C0020-CSE,C0020-IT,C0020-CSE,C0011-IT,C0042-CSE,C0042-CSE,C0016-IT,C0034-IT,C0038-CSE,C0047-CSE
E0824,C0042-IC,C0007-ME,C0038-AUTO,C0029-ME,C0013-IC,C0033-IC,C0029-ME,C0038-AUTO,C0026-ME,C0050-ME
E0825,C0003-CSE,C0044-CSE,C0001-IT,C0040-IT,C0019-IT,C0035-IT,C0022-CSE,C0028-CSE,C0014-CSE,C0009-CSE
E0826,C0030-CSE,C0005-IT,C0005-CSE,C0036-CSE,C0002-IT,C0012-CSE,C0026-IT,C0021-CSE,C0019-CSE,C0025-IT
E0827,C0040-EE,C0039-EE,C0020-EE,C0039-EC,C0027-EE,C0030-EC,C0039-EE,C0034-EE,C0037-EC,C0024-EE
E0828,C0020-IT,C0037-IT,C0041-CSE,C0036-CSE,C0045-IT,C0003-CSE,C0044-IT,C0032-CSE,C0004-IT,C0003-CSE
E0829,C0013-CH,C0015-CIVIL,C0034-CIVIL,C0025-CH,C0010-CIVIL,C0040-CH,C0010-CH,C0045-CIVIL,C0014-CIVIL,C0020-CIVIL
E0830,C0040-ME,C0039-AUTO,C0022-ME,C0029-AUTO,C0031-IC,C0012-IC,C0034-ME,C0019-ME,C0013-IC,C0045-IC
E0831,C0036-AUTO,C0006-IC,C0014-AUTO,C0044-IC,C0031-IC,C0016-IC,C0038-AUTO,C0050-AUTO,C0015-IC,C0001-IC
E0832,C0049-ME,C0014-IC,C0026-AUTO,C0006-AUTO,C0041-AUTO,C0048-IC,C0030-IC,C0049-AUTO,C0022-ME,C0047-IC
E0833,C0038-CH,C0042-CH,C0009-CH,C0003-CH,C0044-CH,C0033-CIVIL,C0023-CIVIL,C0035-CIVIL,C0048-CH,C0002-CH
E0834,C0031-CIVIL,C0017-CIVIL,C0044-CIVIL,C0002-CH,C0024-CH,C0024-CIVIL,C0024-CH,C0006-CH,C0014-CIVIL,C0033-CH
E0835,C0046-EE,C0022-EC,C0016-EE,C0024-EE,C0046-EE,C0038-EE,C0049-EE,C0049-EC,C0026-EE,C0021-EC
E0836,C0029-EE,C0009-EC,C0003-EC,C0013-EC,C0015-EE,C0009-EE,C0017-EC,C0050-EC,C0020-EE,C0031-EC
E0837,C0030-CH,C0009-CIVIL,C0033-CIVIL,C0008-CH,C0042-CIVIL,C0013-CIVIL,C0050-CH,C0049-CH,C0017-CH,C0002-CIVIL
E0838,C0045-IT,C0028-CSE,C0013-CSE,C0029-IT,C0008-IT,C0006-IT,C0004-CSE,C0022-CSE,C0007-CSE,C0019-CSE
E0839,C0040-EC,C0048-EC,C0047-EE,C0033-EC,C0003-EE,C0027-EC,C0041-EE,C0006-EC,C0031-EE,C0037-EC
E0840,C0032-CIVIL,C0036-CIVIL,C0036-CIVIL,C0041-CH,C0004-CH,C0001-CIVIL,C0030-CH,C0036-CH,C0013-CIVIL,C0024-CIVIL
E0841,C0030-IC,C0033-IC,C0002-IC,C0009-ME,C0005-AUTO,C0013-ME,C0008-IC,C0026-AUTO,C0043-ME,C0007-IC
E0842,C0047-CSE,C0034-CSE,C0023-CSE,C0044-IT,C0027-IT,C0050-IT,C0033-CSE,C0050-IT,C0004-IT,C0049-IT
E0843,C0003-EC,C0006-EC,C0002-EE,C0039-EE,C0012-EC,C0015-EC,C0046-EC,C0022-EC,C0015-EE,C0041-EC
E0844,C0044-CIVIL,C0035-CH,C0006-CH,C0005-CIVIL,C0035-CH,C0041-CH,C0041-CIVIL,C0030-CH,C0046-CH,C0041-CH
E0845,C0033-EC,C0003-EE,C0038-EE,C0034-EC,C0016-EC,C0039-EE,C0021-EC,C0006-EC,C0021-EC,C0040-EE
E0846,C0018-IT,C0025-IT,C0018-CSE,C0023-CSE,C0049-CSE,C0032-CSE,C0039-IT,C0021-IT,C0045-IT,C0022-IT
E0847,C0029-CH,C0044-CIVIL,C0021-CH,C0005-CH,C0006-CH,C0036-CIVIL,C0026-CH,C0018-CIVIL,C0002-CH,C0043-CIVIL
E0848,C0040-EC,C0038-EC,C0006-EC,C0014-EC,C0031-EE,C0035-EE,C0041-EC,C0003-EE,C0014-EC,C0022-EC
E0849,C0038-CH,C0003-CH,C0042-CIVIL,C0020-CIVIL,C0026-CIVIL,C0040-CH,C0031-CH,C0024-CIVIL,C0010-CH,C0013-CH
E0850,C0039-ME,C0050-ME,C0017-ME,C0016-IC,C0019-IC,C0043-AUTO,C0015-ME,C0012-IC,C0018-ME,C0027-IC
E0851,C0043-CIVIL,C0009-CIVIL,C0002-CIVIL,C0012-CIVIL,C0043-CIVIL,C0049-CH,C0021-CH,C0038-CH,C0038-CH,C0003-CH
E0852,C0009-IC,C0021-AUTO,C0010-IC,C0029-ME,C0050-ME,C0041-AUTO,C0007-AUTO,C0049-AUTO,C0017-ME,C0034-AUTO
E0853,C0004-IT,C0030-CSE,C0047-CSE,C0048-IT,C0032-CSE,C0021-IT,C0038-IT,C0027-IT,C0019-IT,C0025-IT
E0854,C0035-EC,C0042-EC,C0030-EE,C0009-EE,C0027-EC,C0021-EE,C0015-EE,C0043-EE,C0017-EE,C0017-EC
E0855,C0017-IT,C0045-IT,C0005-CSE,C0047-CSE,C0037-IT,C0043-CSE,C0049-CSE,C0020-CSE,C0018-IT,C0005-CSE
E0856,C0008-CH,C0024-CH,C0044-CH,C0020-CIVIL,C0024-CIVIL,C0049-CIVIL,C0020-CH,C0044-CH,C0040-CIVIL,C0016-CIVIL
E0857,C0043-EE,C0025-EE,C0022-EC,C0035-EC,C0018-EC,C0032-EC,C0014-EE,C0024-EE,C0023-EE,C0026-EC
E0858,C0024-IT,C0021-IT,C0022-IT,C0050-IT,C0015-IT,C0019-CSE,C0018-CSE,C0014-CSE,C0038-IT,C0032-IT
E0859,C0026-IT,C0022-CSE,C0009-IT,C0007-CSE,C0033-CSE,C0034-CSE,C0038-IT,C0047-CSE,C0042-CSE,C0047-CSE
E0860,C0042-CSE,C0012-CSE,C0042-CSE,C0008-IT,C0039-CSE,C0028-CSE,C0016-IT,C0008-IT,C0034-CSE,C0044-IT
E0861,C0024-IT,C0050-CSE,C0013-CSE,C0028-CSE,C0001-IT,C0034-IT,C0026-IT,C0033-CSE,C0029-IT,C0041-CSE
E0862,C0046-ME,C0045-IC,C0047-AUTO,C0047-AUTO,C0003-ME,C0041-IC,C0044-IC,C0019-AUTO,C0038-AUTO,C0036-AUTO
E0863,C0033-EC,C0042-EE,C0025-EC,C0036-EE,C0010-EE,C0043-EE,C0044-EE,C0009-EC,C0003-EC,C0020-EE
E0864,C0013-EC,C0024-EE,C0002-EE,C0030-EE,C0016-EC,C0035-EC,C0046-EC,C0024-EE,C0017-EC,C0022-EC
E0865,C0031-EC,C0037-EC,C0011-EC,C0042-EC,C0039-EE,C0038-EC,C0049-EC,C0008-EC,C0024-EE,C0046-EC
E0866,C0013-CH,C0010-CIVIL,C0023-CH,C0017-CIVIL,C0018-CIVIL,C0029-CH,C0002-CIVIL,C0026-CH,C0033-CH,C0006-CH
E0867,C0005-CH,C0023-CH,C0003-CIVIL,C0050-CH,C0016-CIVIL,C0003-CIVIL,C0042-CIVIL,C0032-CIVIL,C0005-CIVIL,C0004-CIVIL
E0868,C0028-EC,C0012-EE,C0041-EC,C0049-EC,C0017-EC,C0001-EC,C0041-EC,C0049-EC,C0018-EC,C0027-EE
E0869,C0029-CH,C0046-CIVIL,C0041-CIVIL,C0023-CIVIL,C0049-CH,C0040-CIVIL,C0050-CH,C0004-CIVIL,C0036-CIVIL,C0012-CIVIL
E0870,C0002-IC,C0026-ME,C0019-AUTO,C0018-ME,C0040-ME,C0025-AUTO,C0046-IC,C0037-IC,C0019-AUTO,C0001-IC
E0871,C0042-CIVIL,C0044-CH,C0033-CIVIL,C0045-CH,C0019-CIVIL,C0007-CIVIL,C0045-CH,C0023-CH,C0013-CIVIL,C0017-CH
E0872,C0007-IT,C0025-IT,C0020-IT,C0018-IT,C0014-CSE,C0019-IT,C0039-CSE,C0042-IT,C0023-CSE,C0041-CSE
E0873,C0005-CH,C0031-CIVIL,C0031-CH,C0022-CH,C0029-CH,C0040-CH,C0040-CH,C0014-CIVIL,C0013-CH,C0040-CH
E0874,C0030-CH,C0027-CIVIL,C0012-CIVIL,C0015-CIVIL,C0038-CIVIL,C0044-CH,C0004-CH,C0015-CIVIL,C0018-CIVIL,C0046-CH
E0875,C0045-IT,C0025-IT,C0010-CSE,C0022-IT,C0010-CSE,C0023-CSE,C0021-IT,C0034-CSE,C0022-IT,C0034-CSE
E0876,C0023-CH,C0035-CIVIL,C0050-CH,C0039-CH,C0018-CH,C0027-CIVIL,C0021-CH,C0031-CIVIL,C0021-CIVIL,C0050-CH
E0877,C0040-CSE,C0049-CSE,C0045-IT,C0018-CSE,C0043-IT,C0050-IT,C0029-CSE,C0010-CSE,C0027-IT,C0013-CSE
E0878,C0026-EC,C0041-EC,C0007-EE,C0035-EC,C0012-EE,C0007-EC,C0043-EE,C0034-EC,C0014-EE,C0026-EC
E0879,C0049-EE,C0009-EC,C0031-EC,C0042-EE,C0026-EC,C0010-EE,C0016-EC,C0012-EC,C0024-EE,C0031-EE
E0880,C0018-EC,C0009-EE,C0028-EC,C0027-EC,C0043-EC,C0009-EC,C0015-EE,C0037-EE,C0025-EC,C0022-EC
E0881,C0038-AUTO,C0033-ME,C0031-IC,C0023-AUTO,C0038-AUTO,C0044-IC,C0031-ME,C0035-IC,C0006-AUTO,C0006-AUTO
E0882,C0011-EC,C0049-EC,C0050-EC,C0003-EE,C0049-EC,C0040-EE,C0004-EE,C0043-EE,C0020-EE,C0006-EC
E0883,C0043-CIVIL,C0016-CIVIL,C0027-CIVIL,C0030-CIVIL,C0017-CIVIL,C0005-CIVIL,C0018-CIVIL,C0013-CIVIL,C0023-CIVIL,C0041-CH
E0884,C0001-CSE,C0008-CSE,C0032-IT,C0011-CSE,C0043-CSE,C0050-IT,C0004-IT,C0010-CSE,C0023-CSE,C0047-CSE
E0885,C0025-EC,C0023-EE,C0049-EC,C0021-EC,C0042-EE,C0009-EC,C0009-EC,C0024-EE,C0047-EE,C0027-EE
E0886,C0015-IC,C0049-AUTO,C0004-IC,C0013-AUTO,C0043-ME,C0002-IC,C0042-AUTO,C0003-ME,C0019-ME,C0014-AUTO
E0887,C0031-ME,C0019-IC,C0042-IC,C0032-AUTO,C0046-IC,C0013-AUTO,C0039-AUTO,C0015-ME,C0035-ME,C0034-AUTO
E0888,C0015-AUTO,C0018-ME,C0019-ME,C0006-AUTO,C0033-ME,C0042-IC,C0005-ME,C0016-ME,C0029-ME,C0032-AUTO
E0889,C0049-CSE,C0030-CSE,C0010-CSE,C0018-CSE,C0004-CSE,C0025-IT,C0036-IT,C0001-IT,C0009-CSE,C0011-CSE
E0890,C0044-CH,C0009-CH,C0018-CIVIL,C0019-CIVIL,C0019-CH,C0027-CIVIL,C0024-CH,C0024-CIVIL,C0013-CH,C0038-CH
E0891,C0007-ME,C0037-AUTO,C0021-IC,C0039-ME,C0012-IC,C0037-AUTO,C0041-ME,C0001-IC,C0035-ME,C0041-ME
E0892,C0015-AUTO,C0041-AUTO,C0044-AUTO,C0036-ME,C0022-AUTO,C0029-AUTO,C0039-IC,C0032-AUTO,C0016-ME,C0046-IC
E0893,C0036-AUTO,C0014-AUTO,C0029-IC,C0010-IC,C0013-IC,C0034-IC,C0022-IC,C0033-IC,C0019-AUTO,C0039-IC
E0894,C0036-AUTO,C0024-AUTO,C0035-AUTO,C0031-ME,C0004-IC,C0026-ME,C0022-AUTO,C0045-IC,C0019-ME,C0047-AUTO
E0895,C0035-AUTO,C0031-ME,C0034-ME,C0033-ME,C0007-ME,C0035-IC,C0008-IC,C0035-AUTO,C0034-AUTO,C0045-IC
E0896,C0021-EE,C0020-EE,C0049-EE,C0035-EC,C0026-EE,C0003-EE,C0046-EE,C0003-EC,C0025-EC,C0009-EE
E0897,C0029-IC,C0013-IC,C0023-ME,C0039-IC,C0032-AUTO,C0006-AUTO,C0018-AUTO,C0030-AUTO,C0017-ME,C0006-AUTO
E0898,C0012-CH,C0031-CIVIL,C0007-CIVIL,C0029-CH,C0041-CIVIL,C0039-CH,C0020-CIVIL,C0016-CIVIL,C0038-CH,C0043-CIVIL
E0899,C0005-CSE,C0017-IT,C0021-CSE,C0039-IT,C0031-CSE,C0029-CSE,C0018-CSE,C0046-IT,C0001-CSE,C0015-IT
